protein_name_native	protein_key	domain_architecture	domain_boundaries	species	hyb_ids	rnacompete_ids	mean_top10_z	domain_class
PFI1175c	PFI1175C	RRM	68;149	Plasmodium falciparum	986	RNCMPT00380	9.25	RRM
SCL30	SCL30	RRM	44;127	Arabidopsis thaliana	988	RNCMPT00382	7.94	RRM
PK14112.1	PK141121	RRM;RRM	15;98;106;189	Cannabis sativa	998	RNCMPT00392	8.21	RRM
RBM47	RBM47	RRM;RRM;RRM	46;125;126;213;221;298	Meleagris gallopavo	1000	RNCMPT00394	8.98	RRM
Smp_032060	SMP032060	RRM	14;94	Schistosoma mansoni	1002	RNCMPT00396	9.57	RRM
DDB_G0270634	DDBG0270634	RRM;RRM;RRM	16;102;104;188;284;367	Dictyostelium discoideum	1005	RNCMPT00399	8.63	RRM
MBNL2	MBNL2	CCCH;CCCH;CCCH;CCCH	16;40;57;72;177;203;214;237	Homo sapiens	1007	RNCMPT00401	10.66	CCCH
PK11774.1	PK117741	RRM;RRM	47;128;141;223	Cannabis sativa	1009	RNCMPT00403	10.86	RRM
nop12	NOP12	RRM;RRM	46;148;152;235	Schizosaccharomyces pombe	1016	RNCMPT00412	25.94	RRM
mei2	MEI2	RRM;RRM;RRM	46;121;158;220;448;509	Schizosaccharomyces pombe	1017	RNCMPT00413	14.18	RRM
nrd1	NRD1	RRM;RRM;RRM;RRM	46;122;138;198;254;331;345;417	Schizosaccharomyces pombe	1018	RNCMPT00414	11.92	RRM
Smp_036270	SMP036270	RRM	1;56	Schistosoma mansoni	1021	RNCMPT00417	13.53	RRM
u2af2b	U2AF2B	RRM;RRM;RRM	46;133;156;237;288;365	Danio rerio	1022	RNCMPT00418	14.37	RRM
SRSF3	SRSF3	RRM	10;88	Tetraodon nigroviridis	1023	RNCMPT00419	7.35	RRM
NEMVEDRAFT_v1g214798	NEMVEDRAFTV1G214798	RRM;RRM;RRM	7;90;93;177;252;329	Nematostella vectensis	1025	RNCMPT00421	11.88	RRM
CBG05471	CBG05471	RRM;RRM	26;108;107;189	Caenorhabditis briggsae	1026	RNCMPT00422	9.16	RRM
Y57G11C.36	Y57G11C36	KH	124;190	Caenorhabditis elegans	1027	RNCMPT00423	15.31	KH
SNRPB2	SNRPB2	RRM;RRM	4;88;149;226	Meleagris gallopavo	1029	RNCMPT00425	7.95	RRM
PK25912.1	PK259121	RRM;RRM	9;89;108;190	Cannabis sativa	1034	RNCMPT00430	8.55	RRM
PK27602.1	PK276021	RRM;RRM;RRM	20;101;108;189;243;323	Cannabis sativa	1035	RNCMPT00431	12.8	RRM
cwf2	CWF2	RRM	171;249	Schizosaccharomyces pombe	1036	RNCMPT00432	17.38	RRM
CBG03563	CBG03563	RRM;RRM	5;82;120;201	Caenorhabditis briggsae	1037	RNCMPT00433	7.68	RRM
CPEB1	CPEB1	RRM;RRM	47;112;160;240	Homo sapiens	1038	RNCMPT00434	13.16	RRM
PK16782.1	PK167821	KH;KH;KH;KH	51;107;148;215;291;345;377;444	Cannabis sativa	1064	RNCMPT00460	8.43	KH
PK00840.1	PK008401	RRM;RRM;RRM	23;98;117;201;227;302	Cannabis sativa	1065	RNCMPT00461	7.67	RRM
PK00513.1	PK005131	RRM;RRM	1;78;103;185	Cannabis sativa	1066	RNCMPT00462	10.43	RRM
PK20770.1	PK207701	RRM;RRM;RRM	46;124;132;213;252;330	Cannabis sativa	1068	RNCMPT00464	14.58	RRM
PK23097.1	PK230971	KH	167;228	Cannabis sativa	1069	RNCMPT00465	12.38	KH
PK05405.1	PK054051	RRM;RRM;RRM	46;129;126;212;220;263	Cannabis sativa	1070	RNCMPT00466	7.47	RRM
B0280.17	B028017	KH	152;225	Caenorhabditis elegans	1071	RNCMPT00467	10.38	KH
C44B7.2	C44B72	RRM;RRM;RRM;RRM	29;98;118;201;305;384;426;498	Caenorhabditis elegans	1072	RNCMPT00468	8.36	RRM
K07H8.9	K07H89	KH	133;212	Caenorhabditis elegans	1073	RNCMPT00469	7.13	KH
rbm-28	RBM28	RRM;RRM;RRM	46;128;214;298;363;454	Caenorhabditis elegans	1074	RNCMPT00470	9.34	RRM
pab-1	PAB1	RRM;RRM;RRM;RRM	30;111;117;198;210;292;315;396	Caenorhabditis elegans	1075	RNCMPT00471	12.54	RRM
fmr1	FMR1	KH;KH	51;110;114;182	Xenopus tropicalis	1078	RNCMPT00474	6.01	KH
UBA2B	UBA2B	RRM;RRM	47;125;146;226	Arabidopsis thaliana	1079	RNCMPT00475	10.66	RRM
PGTG_00837	PGTG00837	RRM;RRM;RRM	31;112;135;212;237;314	Puccinia graminis	1080	RNCMPT00476	6.99	RRM
PK01594.1	PK015941	KH;KH	51;116;145;211	Cannabis sativa	1082	RNCMPT00478	7.33	KH
PGTG_09691	PGTG09691	RRM;RRM	46;130;208;285	Puccinia graminis	1086	RNCMPT00482	11.42	RRM
Smp_006320	SMP006320	KH	62;126	Schistosoma mansoni	1104	RNCMPT00500	8.79	KH
Smp_024140	SMP024140	RRM;RRM;RRM;RRM	10;92;98;179;190;271;294;375	Schistosoma mansoni	1105	RNCMPT00501	8.02	RRM
rsp-3	RSP3	RRM;RRM	6;83;120;201	Caenorhabditis elegans	1107	RNCMPT00503	7.55	RRM
PF14_0151	PF140151	KH;KH;KH	21;85;111;170;252;317	Plasmodium falciparum	1109	RNCMPT00505	8.57	KH
snrpB2	SNRPB2	RRM;RRM	9;93;164;241	Dictyostelium discoideum	1111	RNCMPT00507	12.88	RRM
pabpc1A	PABPC1A	RRM;RRM;RRM;RRM	7;89;96;177;187;267;282;364	Dictyostelium discoideum	1112	RNCMPT00508	14.85	RRM
grld-1	GRLD1	RRM;RRM;RRM	34;114;166;249;248;327	Caenorhabditis elegans	1113	RNCMPT00509	8.74	RRM
rnp-3	RNP3	RRM;RRM	5;89;140;217	Caenorhabditis elegans	1114	RNCMPT00510	14.08	RRM
pabpc4	PABPC4	RRM;RRM	9;90;97;168	Xenopus tropicalis	1115	RNCMPT00511	13.43	RRM
CG15440	CG15440	RRM;RRM	4;87;97;181	Drosophila melanogaster	1117	RNCMPT00513	13.88	RRM
rbm14	RBM14	RRM;RRM	5;80;81;156	Xenopus tropicalis	1118	RNCMPT00514	10.1	RRM
LmjF.17.0550	LMJF170550	RRM;RRM	15;69;214;285	Leishmania major	1221	RNCMPT00615	4.66	RRM
TVAG_371220	TVAG371220	RRM;RRM;RRM;RRM	3;85;93;173;180;266;291;368	Trichomonas vaginalis	1229	RNCMPT00623	11.89	RRM
PRR3	PRR3	CCCH	156;181	Homo sapiens	1234	RNCMPT00628	15.22	CCCH
RNPC3	RNPC3	RRM;RRM	1;81;390;478	Gallus gallus	1236	RNCMPT00630	6.68	RRM
qkr58E-2	QKR58E2	KH	141;186	Drosophila melanogaster	1243	RNCMPT00637	12.97	KH
LmjF.27.2100	LMJF272100	RRM;RRM;RRM;CCHC	1;82;135;210;239;313;315;332	Leishmania major	1273	RNCMPT00667	6.1	multi
NCU09742	NCU09742	RRM;RRM	46;116;134;217	Neurospora crassa	1282	RNCMPT00676	9.27	RRM
hnrnpa0a	HNRNPA0A	RRM;RRM	7;89;98;180	Danio rerio	1283	RNCMPT00677	9.94	RRM
SCHCODRAFT_80278	SCHCODRAFT80278	RRM	98;180	Schizophyllum commune	1284	RNCMPT00678	13.62	RRM
e_gw1.13.00.297.1	EGW113002971	RRM;RRM	35;115;133;213	Ostreococcus tauri	1287	RNCMPT00681	20.72	RRM
tardbpl	TARDBPL	RRM;RRM	46;127;138;214	Danio rerio	1289	RNCMPT00683	11.33	RRM
hnrnpa0	HNRNPA0	RRM;RRM	9;91;100;182	Xenopus tropicalis	1290	RNCMPT00684	8.79	RRM
PK27183.1	PK271831	RRM;RRM;RRM	46;129;126;213;221;304	Cannabis sativa	1291	RNCMPT00685	13.31	RRM
LmjF.18.0190	LMJF180190	RRM;RRM	21;104;114;203	Leishmania major	1293	RNCMPT00687	20.59	RRM
LmjF.25.0080	LMJF250080	RRM;RRM;RRM;RRM	5;90;96;173;186;260;286;370	Leishmania major	1294	RNCMPT00688	9.16	RRM
LmjF.25.0500	LMJF250500	RRM	26;109	Leishmania major	1295	RNCMPT00689	11.63	RRM
LmjF.34.4560	LMJF344560	RRM;RRM;RRM	45;124;129;213;320;387	Leishmania major	1297	RNCMPT00691	18.39	RRM
LmjF.36.5420	LMJF365420	KH	126;199	Leishmania major	1298	RNCMPT00692	5.55	KH
estExt_fgenesh1_pg.C_Chr_03.00010087	ESTEXTFGENESH1PGCCHR0300010087	KH;KH	50;98;150;204	Ostreococcus tauri	1300	RNCMPT00694	10.89	KH
Tb11.01.3940	TB11013940	RRM	13;96	Trypanosoma brucei	1301	RNCMPT00695	14.81	RRM
CG1316	CG1316	RRM;RRM;RRM;RRM	25;109;121;184;264;345;382;455	Drosophila melanogaster	1304	RNCMPT00698	10.1	RRM
ENSMODG00000011916	ENSMODG00000011916	RRM;RRM	46;128;131;213	Monodelphis domestica	1313	RNCMPT00707	8.36	RRM
LmjF.29.1340	LMJF291340	RRM;RRM	46;129;139;239	Leishmania major	1318	RNCMPT00712	16.4	RRM
LmjF.29.1350	LMJF291350	RRM;RRM	46;134;145;235	Leishmania major	1319	RNCMPT00713	24.47	RRM
LmjF.29.1360	LMJF291360	RRM;RRM	46;129;139;228	Leishmania major	1320	RNCMPT00714	20.43	RRM
LmjF.30.2180	LMJF302180	RRM;RRM	2;86;93;178	Leishmania major	1321	RNCMPT00715	22.76	RRM
LmjF.32.2810	LMJF322810	RRM;RRM	46;116;242;346	Leishmania major	1322	RNCMPT00716	6.94	RRM
LmjF.33.1450	LMJF331450	RRM;RRM	46;92;95;146	Leishmania major	1323	RNCMPT00717	21.78	RRM
NEMVEDRAFT_v1g141408	NEMVEDRAFTV1G141408	KH	65;136	Nematostella vectensis	1324	RNCMPT00718	18.88	KH
LmjF.29.0680	LMJF290680	RRM;RRM;RRM	31;118;137;215;310;393	Leishmania major	1326	RNCMPT00720	7.49	RRM
SCHCODRAFT_72118	SCHCODRAFT72118	RRM;RRM	9;93;178;260	Schizophyllum commune	1329	RNCMPT00723	8.86	RRM
SCHCODRAFT_35516	SCHCODRAFT35516	RRM;RRM	9;91;158;230	Schizophyllum commune	1331	RNCMPT00725	10.82	RRM
mex3c	MEX3C	KH	72;131	Danio rerio	1333	RNCMPT00727	10.14	KH
Tb10.389.1650	TB103891650	RRM	2;87	Trypanosoma brucei	1338	RNCMPT00732	18.91	RRM
Tb927.3.3960	TB92733960	RRM;RRM	23;105;116;210	Trypanosoma brucei	1341	RNCMPT00735	22.98	RRM
BATDEDRAFT_13807	BATDEDRAFT13807	RRM;RRM	12;95;158;235	Batrachochytrium dendrobatidis	1345	RNCMPT00739	7.82	RRM
PK10695.1	PK106951	RRM;RRM;RRM	46;129;138;222;247;323	Cannabis sativa	1347	RNCMPT00741	10.24	RRM
DDX53	DDX53	KH	50;109	Homo sapiens	1349	RNCMPT00743	6.26	KH
Tb11.03.0550	TB11030550	RRM	75;158	Trypanosoma brucei	1355	RNCMPT00749	13.93	RRM
Tb927.7.320	TB9277320	RRM	61;145	Trypanosoma brucei	1357	RNCMPT00751	12.54	RRM
NCU00556	NCU00556	RRM;RRM	48;129;334;414	Neurospora crassa	1360	RNCMPT00754	14.3	RRM
RBPMS2	RBPMS2	RRM	1;81	Monodelphis domestica	1363	RNCMPT00757	8.74	RRM
ENSMODG00000011903	ENSMODG00000011903	RRM;RRM	7;89;88;167	Monodelphis domestica	1364	RNCMPT00758	7.84	RRM
ENSGALG00000014089	ENSGALG00000014089	RRM;RRM	47;127;143;225	Gallus gallus	1366	RNCMPT00760	11.37	RRM
LmjF.24.1570	LMJF241570	RRM;RRM;RRM	47;129;135;180;193;238	Leishmania major	1367	RNCMPT00761	22.49	RRM
LmjF.29.1370	LMJF291370	RRM;RRM;RRM	46;131;141;186;211;262	Leishmania major	1368	RNCMPT00762	29.83	RRM
LmjF.30.1110	LMJF301110	RRM;RRM;RRM	3;68;154;231;270;347	Leishmania major	1369	RNCMPT00763	10.72	RRM
NCU00707	NCU00707	RRM;RRM	8;93;148;241	Neurospora crassa	1374	RNCMPT00768	7.83	RRM
Tb11.01.5690	TB11015690	RRM;RRM;RRM;RRM	2;74;94;172;270;343;392;467	Trypanosoma brucei	1379	RNCMPT00773	9.18	RRM
sart3	SART3	RRM;RRM	46;129;143;225	Tetraodon nigroviridis	1380	RNCMPT00774	11.47	RRM
TBPH	TBPH	RRM;RRM	47;127;131;207	Drosophila melanogaster	1382	RNCMPT00776	9.14	RRM
CG4806	CG4806	RRM;RRM	45;125;227;249	Drosophila melanogaster	1390	RNCMPT00784	7.2	RRM
Imp	IMP	KH;KH;KH;KH	51;114;131;196;269;336;355;422	Drosophila melanogaster	1393	RNCMPT00787	5.31	KH
heph	HEPH	RRM;RRM;RRM	46;127;235;314;352;432	Drosophila melanogaster	1394	RNCMPT00788	5.47	RRM
PK00353.1	PK003531	RRM;RRM	46;123;177;255	Cannabis sativa	1395	RNCMPT00789	7.23	RRM
PK07890.1	PK078901	RRM;RRM	46;128;149;231	Cannabis sativa	1396	RNCMPT00790	15.31	RRM
PK20656.1	PK206561	KH	27;92	Cannabis sativa	1397	RNCMPT00791	5.63	KH
PK21582.1	PK215821	RRM;RRM	46;128;146;225	Cannabis sativa	1398	RNCMPT00792	10.33	RRM
PFI0820c	PFI0820C	RRM;RRM	46;124;129;210	Plasmodium falciparum	1399	RNCMPT00793	6.18	RRM
cpb-2	CPB2	RRM;RRM	47;88;245;326	Caenorhabditis elegans	1400	RNCMPT00794	14.92	RRM
U2B''	U2B	RRM;RRM	7;91;155;232	Arabidopsis thaliana	1405;2266	RNCMPT00799;RNCMPT01660		RRM
PFE0865c	PFE0865C	RRM;RRM	5;85;108;187	Plasmodium falciparum	1406	RNCMPT00800	6.53	RRM
rsp-1	RSP1	RRM;RRM	1;75;126;202	Caenorhabditis elegans	1407	RNCMPT00801	9.02	RRM
RBM45	RBM45	RRM;RRM;RRM	23;108;119;187;247;324	Homo sapiens	1411	RNCMPT00805	12.16	RRM
ESRP1	ESRP1	RRM;RRM	46;128;147;232	Homo sapiens	1414	RNCMPT00808	6.61	RRM
TRNAU1AP	TRNAU1AP	RRM;RRM	1;84;93;177	Homo sapiens	1419	RNCMPT00813	7.72	RRM
ELAVL2	ELAVL2	RRM;RRM	36;119;122;189	Homo sapiens	1420	RNCMPT00814	15.11	RRM
tdp-1	TDP1	RRM;RRM	46;127;132;216	Caenorhabditis elegans	1422	RNCMPT00816	11.6	RRM
RBFOX2	RBFOX2	RRM	46;127	Homo sapiens	1424	RNCMPT00818	26.26	RRM
RBM34	RBM34	RRM;RRM	46;146;148;230	Homo sapiens	1425	RNCMPT00819	5.79	RRM
PUF60	PUF60	RRM;RRM;RRM	47;127;143;225;399;471	Homo sapiens	1426	RNCMPT00820	12.02	RRM
T07F10.3	T07F103	RRM;RRM	46;125;134;216	Caenorhabditis elegans	1427	RNCMPT00821	8.08	RRM
FUBP1	FUBP1	KH;KH;KH;KH	51;113;136;200;226;288;327;392	Homo sapiens	1428	RNCMPT00822	7.78	KH
ENSXETG00000023721	ENSXETG00000023721	RRM;RRM	46;146;149;231	Xenopus tropicalis	1434	RNCMPT00828	10.75	RRM
PK21151.1	PK211511	RRM;RRM	17;101;173;250	Cannabis sativa	1436	RNCMPT00830	12.42	RRM
PK21303.1	PK213031	RRM;RRM;RRM	46;129;126;213;223;310	Cannabis sativa	1437	RNCMPT00831	6.57	RRM
Tb927.6.4960	TB92764960	CCCH	51;75	Trypanosoma brucei	1439	RNCMPT00833	13.95	CCCH
Tb927.7.2140	TB92772140	CCCH;CCCH	51;72;142;166	Trypanosoma brucei	1440	RNCMPT00834	25.99	CCCH
NCU04254	NCU04254	CCCH	51;74	Neurospora crassa	1441	RNCMPT00835	8.35	CCCH
Tb927.5.810	TB9275810	CCCH	51;77	Trypanosoma brucei	1443	RNCMPT00837	13.04	CCCH
CG4887	CG4887	RRM;RRM	34;117;164;244	Drosophila melanogaster	1444	RNCMPT00838	5.93	RRM
CBG00421	CBG00421	KH;CCHC;CCHC	61;134;175;191;199;216	Caenorhabditis briggsae	1446	RNCMPT00840	14.51	multi
PK05280.1	PK052801	RRM;RRM	6;89;99;182	Cannabis sativa	1468	RNCMPT00862	5.4	RRM
SCHCODRAFT_104251	SCHCODRAFT104251	RRM;CCHC	46;121;130;147	Schizophyllum commune	1472	RNCMPT00866	6.58	multi
tardbp	TARDBP	RRM;RRM	48;129;135;211	Danio rerio	2270	RNCMPT01664	9.7	RRM
hnrnpa0b	HNRNPA0B	RRM;RRM	5;87;96;178	Danio rerio	2273	RNCMPT01667	9.2	RRM
tra2b	TRA2B	RRM	118;201	Tetraodon nigroviridis	2275	RNCMPT01669	5.71	RRM
u2af2b	U2AF2B	RRM;RRM;RRM	46;133;156;239;289;364	Tetraodon nigroviridis	2276	RNCMPT01670	10.45	RRM
ENSTNIG00000011257	ENSTNIG00000011257	RRM;RRM;RRM	46;133;157;238;285;362	Tetraodon nigroviridis	2277	RNCMPT01671	12.28	RRM
TIA1	TIA1	RRM;RRM;RRM	4;85;101;182;208;284	Tetraodon nigroviridis	2278	RNCMPT01672	8.74	RRM
khdrbs1b	KHDRBS1B	KH	63;123	Tetraodon nigroviridis	2279	RNCMPT01673	8.63	KH
tia1	TIA1	RRM;RRM;RRM	4;85;103;185;211;287	Tetraodon nigroviridis	2280	RNCMPT01674	6.08	RRM
RBM24	RBM24	RRM	8;87	Tetraodon nigroviridis	2283	RNCMPT01677	9.92	RRM
hnrpkl	HNRPKL	KH;KH;KH	44;74;147;210;371;433	Tetraodon nigroviridis	2285	RNCMPT01679	6.12	KH
srsf3	SRSF3	RRM	7;85	Xenopus tropicalis	2286	RNCMPT01680	9.74	RRM
PUB1	PUB1	RRM;RRM;RRM	46;128;133;216;312;389	Saccharomyces cerevisiae	2291	RNCMPT01685	11.6	RRM
RBM38	RBM38	RRM	8;88	Homo sapiens	2293	RNCMPT01687	5.16	RRM
