protein_name_native	protein_key	domain_architecture	domain_boundaries	species	domain_class
snRNP-U1-70K	SNRNPU170K	RRM	46;129	Drosophila melanogaster	RRM
PK13173.1	PK131731	RRM	17;98	Cannabis sativa	RRM
Ref2	REF2	RRM	46;128	Drosophila melanogaster	RRM
CG33714	CG33714	RRM	12;90	Drosophila melanogaster	RRM
CG11360	CG11360	KH;KH	51;111;162;221	Drosophila melanogaster	KH
CG7903	CG7903	RRM	2;75	Drosophila melanogaster	RRM
tra2b	TRA2B	RRM	118;201	Tetraodon nigroviridis	RRM
PK20656.1	PK206561	KH	27;92	Cannabis sativa	KH
LmjF.36.5420	LMJF365420	KH	126;199	Leishmania major	KH
heph	HEPH	RRM;RRM;RRM	46;127;235;314;352;432	Drosophila melanogaster	RRM
PK05280.1	PK052801	RRM;RRM	6;89;99;182	Cannabis sativa	RRM
Imp	IMP	KH;KH;KH;KH	51;114;131;196;269;336;355;422	Drosophila melanogaster	KH
ANIA_03953	ANIA03953	RRM	46;129	Aspergillus nidulans	RRM
Y59A8B.10	Y59A8B10	KH;KH	43;108;135;200	Caenorhabditis elegans	KH
Rnp4F	RNP4F	RRM	47;127	Drosophila melanogaster	RRM
mod	MOD	RRM;RRM;RRM;RRM	46;127;129;207;211;286;291;360	Drosophila melanogaster	RRM
Rox8	ROX8	RRM;RRM;RRM	4;83;92;174;218;295	Drosophila melanogaster	RRM
LmjF.17.0550	LMJF170550	RRM;RRM	15;69;214;285	Leishmania major	RRM
ANIA_04546	ANIA04546	KH;KH;KH	51;113;137;200;286;349	Aspergillus nidulans	KH
pUf68	PUF68	RRM;RRM;RRM	46;128;143;225;463;546	Drosophila melanogaster	RRM
SRSF10	SRSF10	RRM	7;90	Homo sapiens	RRM
HNRNPL	HNRNPL	RRM;RRM;RRM;RRM	68;147;161;241;348;427;467;552	Homo sapiens	RRM
shep	SHEP	RRM;RRM	17;95;107;189	Drosophila melanogaster	RRM
Hrb27C	HRB27C	RRM;RRM	4;86;94;175	Drosophila melanogaster	RRM
VTS1	VTS1	SAM	18;70	Saccharomyces cerevisiae	SAM
YBX1	YBX1	CSD	59;128	Homo sapiens	CSD
SRSF9	SRSF9	RRM;RRM	11;91;108;189	Homo sapiens	RRM
sup-12	SUP12	RRM	33;111	Caenorhabditis elegans	RRM
ELAVL1	ELAVL1	RRM;RRM;RRM	18;100;103;188;242;324	Homo sapiens	RRM
Hrb98DE	HRB98DE	RRM;RRM	28;110;119;201	Drosophila melanogaster	RRM
lark	LARK	RRM;RRM;CCHC	4;79;83;158;168;185	Drosophila melanogaster	multi
LIN28A	LIN28A	CSD;CCHC;CCHC	40;112;137;154;159;176	Homo sapiens	multi
SRSF1	SRSF1	RRM;RRM	13;93;118;199	Homo sapiens	RRM
MSI1	MSI1	RRM;RRM	17;99;106;188	Homo sapiens	RRM
PTBP1	PTBP1	RRM;RRM;RRM;RRM	56;135;180;262;334;413;451;530	Homo sapiens	RRM
RBM4	RBM4	RRM;RRM;CCHC	1;74;75;149;160;177	Homo sapiens	multi
U2B''	U2B	RRM;RRM	7;91;155;232	Arabidopsis thaliana	RRM
RBM5	RBM5	RRM;RanBP;RRM	95;180;181;210;231;317	Homo sapiens	multi
RBMS3	RBMS3	RRM;RRM	46;122;125;213	Homo sapiens	RRM
pum	PUM	Pumillo	51;341	Drosophila melanogaster	PUM
